last_scraped,name,description,neighborhood_overview,host_name,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,estimated_occupancy_l365d,first_review,last_review,instant_bookable,central,review_scores_rating
9406,31,81,187,6,4337,197,12,0.7,0.61,0,9,29,18,1,40.76676,-73.91276,27,12,2,1.0,6,1,1.0,179,69.0,30,1125,0,5749,8631,0,7.39,4.6
9406,32,293,0,3,4991,90,12,1.0,0.0,0,1,1,18,1,40.74652,-73.99171,18,15,4,2.0,7,2,2.0,126,248.0,30,100,0,5047,6106,0,7.21,4.33
9406,33,503,0,7,5310,247,18,0.92,1.0,1,2,3,18,1,40.76216959091313,-73.98631045335793,18,15,6,1.0,6,1,3.0,883,189.0,30,365,240,8447,9276,0,6.89,4.98
9406,32,220,382,6,5906,434,18,0.99,0.66,1,204,387,18,1,40.7463935,-73.9864578,18,15,2,1.0,6,1,1.0,807,209.0,30,365,60,9142,9142,0,7.1,5.0
9405,32,495,636,6,5860,222,14,1.0,1.0,1,1,3,32,1,40.644142150878906,-73.9665756225586,20,12,2,1.0,14,0,1.0,1153,152.0,5,27,218,5900,9375,0,6.4,4.87
9406,39,243,255,16,5640,609,0,,,0,1,2,18,1,40.80191,-73.95165,27,12,2,,13,2,,137,,30,1125,0,6483,6577,0,7.28,5.0
9406,18,140,0,6,7175,0,0,,,0,1,1,18,1,40.81133,-73.93737,27,12,1,,13,,,180,,30,1125,0,7184,7374,0,7.74,4.61
9406,45,248,0,4,6215,358,0,,,0,2,3,18,1,40.75978,-73.99329,18,15,4,1.0,6,1,1.0,609,350.0,30,365,0,7960,8737,0,7.72,4.88
9406,31,545,131,8,4522,38,12,1.0,0.0,0,3,3,18,1,40.69093,-73.90366,18,15,2,1.0,6,1,1.0,295,135.0,30,35,0,4878,7624,0,7.45,4.66
9406,42,419,407,6,6578,170,0,,,0,1,1,18,1,40.71904,-73.95971,18,15,2,,6,1,,363,,91,1125,0,6693,7125,0,7.62,4.8
9406,43,116,211,16,7867,151,14,1.0,0.98,1,3,4,18,1,40.6862265,-73.8736856,18,15,4,1.0,6,2,2.0,966,275.0,5,20,255,7919,9374,0,7.3,4.89
9406,24,503,0,7,8485,0,14,1.0,0.99,0,3,3,18,1,40.76137,-73.88188,20,12,2,1.0,13,1,1.0,663,83.0,2,28,102,9340,9403,0,7.19,4.63
9406,21,363,0,6,5305,138,18,0.0,0.0,0,1,6,18,1,40.7614804,-73.9986128,18,15,4,1.0,6,1,1.0,438,241.0,30,365,0,8199,8975,0,6.87,4.7
9406,50,295,1000,6,5326,0,18,0.99,0.87,0,315,357,18,1,40.77164,-73.9269,20,12,1,1.0,13,1,1.0,125,61.0,30,1125,0,8184,8184,0,7.24,5.0
9406,49,500,237,7,6282,45,18,0.77,0.81,0,83,86,32,1,40.74926,-73.97643,12,15,4,1.0,6,1,2.0,281,210.0,30,120,0,6482,7952,1,7.02,4.0
9406,47,466,616,3,5572,0,0,,,0,1,1,18,1,40.64095,-74.01747,27,12,1,,13,,,124,,30,1125,0,6239,6239,0,7.49,5.0
9406,45,469,621,5,6085,331,0,,,0,1,1,18,1,40.73375,-73.99774,18,15,2,,6,,,381,,30,1125,0,7190,7351,1,7.27,4.89
9406,28,392,130,6,5156,24,14,1.0,1.0,0,1,1,18,1,40.68827,-73.93648,20,12,2,1.0,14,1,1.0,582,160.0,3,25,192,5210,9403,0,7.07,4.81
9406,45,499,78,8,5247,594,0,,,0,1,3,18,1,40.67262,-73.95039,18,15,3,,6,1,,326,,30,60,0,6675,7825,0,7.08,4.75
9406,41,363,0,3,6757,0,0,,,0,1,1,18,1,40.646,-74.08647,18,15,6,,6,1,,499,,30,1125,0,6791,7372,0,6.85,4.91
9406,46,468,0,8,4445,198,0,,,0,2,2,18,1,40.65776,-73.96169,18,15,4,,6,2,,322,,30,1125,0,6554,6942,0,7.11,5.0
9406,48,509,317,7,5292,60,0,,,0,1,3,18,1,40.71828,-73.96253,20,12,1,,13,1,,138,,30,1125,0,6803,6803,0,6.94,5.0
9406,36,307,0,7,4572,415,14,0.96,0.83,0,94,125,18,1,40.79333,-73.96857,18,15,4,2.0,7,2,2.0,717,293.0,30,1125,0,8248,8308,0,6.91,4.0
9406,9,0,240,7,6645,312,0,,,0,2,2,18,1,40.67811,-73.91257,25,12,2,,13,,,111,,30,365,0,7306,7306,0,6.35,4.0
9406,42,503,0,6,5448,0,14,1.0,1.0,0,1,1,18,1,40.74491,-73.91192,27,12,1,1.0,13,1,1.0,419,125.0,30,1125,0,6071,8304,0,6.91,4.83
9406,48,506,0,7,6107,0,0,,1.0,1,8,16,18,1,40.64732690260279,-73.965805055742,20,12,2,,14,,,918,,30,365,0,8875,8911,0,7.11,5.0
9406,50,250,167,5,5408,35,0,,,0,1,1,18,1,40.68558,-73.94872,27,12,2,,16,,,168,,30,1125,0,6065,6065,0,7.07,5.0
9406,32,1000,0,7,4619,53,0,,,0,1,1,18,1,40.73604,-74.00905,18,15,2,,6,,,61,,30,1125,0,5014,5755,0,7.08,5.0
9405,34,385,20,5,7936,0,14,1.0,0.98,1,3,5,18,1,40.8609106,-73.8256466,18,15,2,1.0,6,1,1.0,927,82.0,30,365,60,8338,9097,0,6.87,4.5
9406,49,462,79,4,5066,19,0,,1.0,0,1,1,18,1,40.58787,-73.94471,18,15,2,1.0,6,0,2.0,736,75.0,30,120,0,7828,8971,0,7.47,4.87
9406,47,137,597,5,5802,0,18,1.0,0.98,1,2,2,18,1,40.65404,-73.91743,18,15,2,1.0,6,1,1.0,974,171.0,30,90,60,8130,9093,0,6.8,4.86
9406,34,242,348,6,5309,411,0,,,0,1,1,18,1,40.73073,-73.98181,18,15,4,,6,1,,101,,30,1125,0,5320,5710,0,7.27,4.6
9406,45,453,253,5,5631,190,18,0.0,,0,1,1,18,1,40.72826,-73.98912,18,15,2,1.0,6,1,1.0,324,300.0,30,30,0,5651,8655,0,6.94,4.92
9406,35,524,56,4,6858,0,14,1.0,0.97,1,1,1,18,1,40.73758932244776,-73.82699068523883,25,12,2,1.0,14,1,2.0,851,125.0,1,1125,255,9037,9398,0,7.36,4.88
9406,44,415,0,23,8934,205,14,1.0,0.99,1,4,4,18,1,40.7209603,-73.9585985,13,12,2,1.0,14,1,1.0,270,,1,365,255,8992,9368,1,6.55,4.81
9406,34,510,891,5,4408,337,0,,1.0,1,1,2,18,1,40.699,-73.90295,18,15,4,1.0,6,1,2.0,685,72.0,30,365,60,4504,9148,0,7.02,4.73
9406,41,500,0,5,7802,449,14,1.0,1.0,0,69,79,18,1,40.74809946448135,-73.98739751669073,27,12,2,1.0,6,1,1.0,485,121.0,1,365,218,8890,9385,1,6.77,4.19
9406,32,450,511,5,6760,0,18,0.96,0.78,0,278,311,18,1,40.74076,-73.89341,20,12,2,,13,,,233,,30,1125,0,7816,8648,0,7.18,4.31
9406,11,296,357,5,4971,234,0,,,0,1,2,18,1,40.75123,-73.87435,20,12,1,,13,,,193,,30,30,0,5239,7304,0,7.13,4.7
9406,30,253,194,7,5805,0,0,,,0,1,1,18,1,40.68901,-73.95057,27,12,1,,6,1,,84,,30,1125,0,5842,5842,0,7.25,3.0
9406,48,376,0,5,7837,0,0,,,0,1,1,18,1,40.7683,-73.9256,18,15,4,,6,1,,762,,30,365,0,8076,8144,0,6.89,4.8
9406,30,248,129,3,4052,301,12,1.0,0.5,0,1,4,18,1,40.72581,-73.98003,18,15,2,,6,1,,221,,30,1125,0,5260,6352,0,7.27,4.71
9406,23,479,0,8,8488,437,14,0.97,0.91,0,9,10,18,1,40.67803903405839,-73.97911874031684,18,15,2,1.0,6,1,1.0,889,350.0,30,730,120,8644,9361,0,6.94,4.67
9406,30,243,582,4,5094,0,0,,,0,1,1,18,1,40.7322,-73.98497,18,15,4,,6,1,,104,,30,1125,0,5946,6046,0,6.96,4.67
9406,32,77,62,12,7254,1665,0,,1.0,0,1,2,18,1,40.76377,-73.99568,13,12,2,1.0,14,0,1.0,446,239.0,1,1125,13,7574,9194,1,6.94,3.72
9406,46,441,760,4,4173,202,0,,,0,1,1,32,1,40.72059,-73.96182,18,15,2,,6,1,,200,,30,1125,0,7933,8066,0,6.89,5.0
9406,49,482,255,8,4865,630,0,,,0,1,1,18,1,40.71517,-73.96174,12,15,2,,6,2,,656,,30,365,0,8231,8607,0,6.85,5.0
9406,32,505,0,8,8489,0,14,1.0,0.93,1,4,4,18,0,40.72113235966562,-73.97943508589647,18,15,5,1.0,6,1,3.0,657,139.0,30,180,60,8507,9251,0,7.58,4.59
9406,18,452,0,6,8923,290,14,1.0,1.0,0,2,3,18,1,40.74663,-73.98709,18,15,5,1.0,6,0,3.0,694,336.0,2,31,255,9086,9388,1,7.33,4.74
9406,28,466,0,4,7914,0,14,1.0,1.0,1,1,1,32,1,40.74607881879778,-73.78740265686379,12,15,8,2.0,7,4,4.0,1309,375.0,30,1125,0,8843,9025,1,7.14,5.0
9406,23,163,61,4,5914,59,0,,0.2,0,3,4,18,1,40.57829,-73.95409,18,15,4,1.0,6,0,1.0,270,111.0,30,1124,0,5939,8432,0,7.14,4.3
9406,37,523,726,6,6779,0,18,0.97,0.49,0,307,319,18,1,40.70475,-73.9425,25,12,2,1.0,13,1,1.0,81,49.0,30,1125,0,8643,8674,0,7.36,5.0
9406,44,262,46,5,5457,31,18,0.46,0.0,0,6,7,18,1,40.74334,-73.98401,18,15,5,1.0,6,2,3.0,358,225.0,30,372,0,6038,6828,0,7.23,3.75
9406,26,436,0,4,5310,0,14,1.0,0.91,1,1,1,18,1,40.67490993902448,-73.98059801797959,20,12,2,1.0,14,1,1.0,894,223.0,2,18,255,8441,9403,0,7.5,4.99
9406,49,430,1000,12,8986,0,14,1.0,0.99,1,10,10,18,1,40.71720820330147,-73.99553099256845,13,12,4,1.0,6,1,2.0,315,256.0,1,365,255,9060,9392,1,7.14,4.9
9406,38,306,589,6,6062,0,0,,,0,1,1,18,1,40.66937,-73.954,27,12,2,,13,,,295,,30,1125,0,6075,6750,0,7.06,4.6
9406,33,0,0,6,3995,34,0,,1.0,0,1,2,18,1,40.67634,-73.95143,27,12,2,1.0,6,1,1.0,94,72.0,30,182,0,4025,8351,1,6.35,4.82
9406,49,499,650,5,6159,184,18,0.33,0.0,0,1,3,18,1,40.652328885638816,-73.96216524662702,27,12,2,1.0,13,1,1.0,369,60.0,30,60,0,8314,8325,0,7.09,5.0
9406,46,224,0,5,6332,0,0,,,0,1,1,18,1,40.74252,-73.97811,18,15,2,,6,,,226,,30,1125,0,6940,7306,0,7.28,5.0
9406,34,0,0,7,3925,30,0,,,0,1,1,18,1,40.81562,-73.94674,27,12,2,,6,,,153,,30,365,0,6854,7232,0,6.35,5.0
9406,32,154,534,5,4099,49,0,,,0,1,2,18,1,40.72005,-73.99645,18,15,2,,9,1,,153,,30,60,0,4846,6736,1,7.43,4.82
9406,47,393,237,6,8315,224,0,,,0,1,2,9,1,40.66479,-73.98209,27,12,2,,13,1,,740,,30,90,0,8324,8688,0,7.38,4.93
9406,38,490,0,4,6768,0,0,,,0,1,1,18,1,40.68879,-73.85233,20,12,2,,14,,,360,,30,30,0,6927,6999,1,7.11,4.9
9406,34,257,162,6,5191,131,0,,,0,6,6,32,1,40.72678,-73.95691,20,12,2,,13,1,,101,,30,1125,0,5337,6575,0,6.94,5.0
9406,46,166,115,5,5972,0,0,,,0,1,1,32,1,40.7336,-74.00472,18,15,4,,6,1,,187,,30,30,0,7138,7302,1,7.38,4.75
9406,50,481,0,5,5990,0,0,,,0,1,1,18,1,40.70288,-73.98717,11,15,2,,6,,,165,,30,45,0,7553,7553,0,7.1,5.0
9406,50,399,0,4,5452,24,0,,,0,1,3,18,1,40.71001,-73.94667,18,15,2,1.5,9,1,1.0,712,152.0,30,730,60,8277,9076,0,6.78,5.0
